City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,bandar-e lengeh,26.5579,54.8807,297.21,83,25,4.12,IR,1682286265
136,cape town,-33.9258,18.4232,291.69,92,75,7.2,ZA,1682286152
137,krivodanovka,55.0881,82.6551,280.2,45,0,5.0,RU,1682286266
138,myre,69.1036,15.9492,271.12,57,56,3.13,NO,1682286267
139,totma,59.9747,42.7642,280.22,85,100,1.02,RU,1682286267
140,alamo,20.9167,-97.6833,307.95,46,76,4.57,MX,1682286267
141,bahia honda,22.9036,-83.1592,300.96,59,12,3.77,CU,1682286268
142,gazanjyk,39.2446,55.5154,295.26,37,34,4.23,TM,1682286268
143,carnarvon,-24.8667,113.6333,295.33,74,100,5.58,AU,1682286244
144,vaini,-21.2,-175.2,300.24,74,75,5.66,TO,1682286228
145,chuy,-33.6971,-53.4616,291.54,88,100,3.63,UY,1682285957
146,ravar,31.2656,56.8055,295.47,32,100,1.93,IR,1682286270
147,port-de-bouc,43.4,4.9833,288.47,85,0,6.69,FR,1682286270
148,gravdal,68.1214,13.5031,269.09,86,0,2.57,NO,1682286271
149,mar del plata,-38.0023,-57.5575,290.16,90,20,2.57,AR,1682286145
150,sri aman,1.2376,111.4621,298.18,100,99,2.57,MY,1682286272
151,richards bay,-28.783,32.0377,291.85,84,32,1.67,ZA,1682286272
152,bambous virieux,-20.3428,57.7575,298.29,83,40,1.54,MU,1682286272
153,mkushi,-13.6202,29.3939,290.37,84,99,1.52,ZM,1682286273
154,muros,42.7762,-9.0603,289.87,87,96,2.16,ES,1682286273
155,bilibino,68.0546,166.4372,270.47,64,39,2.44,RU,1682286274
156,nizhniy odes,63.6445,54.856,263.79,97,18,1.82,RU,1682286274
157,muisne,0.6,-80.0333,300.58,75,100,2.93,EC,1682286275
158,manacor,39.5696,3.2096,289.48,77,30,2.59,ES,1682286275
159,tsogni,-2.7942,10.0988,298.48,92,62,2.61,GA,1682286275
160,amalapuram,16.5833,82.0167,299.21,87,8,1.16,IN,1682286276
161,kavieng,-2.5744,150.7967,300.33,78,100,1.82,PG,1682286276
162,nakhodka,42.8333,132.8947,277.82,42,0,3.8,RU,1682286277
163,albany,42.6001,-73.9662,285.17,78,97,0.45,US,1682286277
164,puerto ayora,-0.7393,-90.3518,303.13,86,59,4.47,EC,1682286277
165,ostrovnoy,68.0531,39.5131,267.75,77,9,9.68,RU,1682286278
166,unai,-16.3575,-46.9061,297.31,61,86,2.07,BR,1682286279
167,balkanabat,39.5108,54.3671,296.85,38,74,2.83,TM,1682286279
168,polovinnoye,54.7914,65.9864,279.28,87,32,4.17,RU,1682286279
169,beyneu,45.3167,55.2,289.61,45,2,4.79,KZ,1682286280
170,mahebourg,-20.4081,57.7,298.31,83,40,1.54,MU,1682286281
171,aitape,-3.1374,142.3475,299.65,80,96,1.81,PG,1682286281
172,goderich,43.7501,-81.7165,279.77,70,61,2.57,CA,1682286281
173,rocha,-34.4833,-54.3333,290.09,96,100,2.53,UY,1682286282
174,dali,25.7,100.1833,284.44,79,8,2.06,CN,1682286282
175,maceio,-9.6658,-35.7353,300.84,74,20,4.63,BR,1682286283
176,ahuimanu,21.4447,-157.8378,301.99,65,0,4.12,US,1682286284
177,mindelo,16.8901,-24.9804,295.9,64,20,7.72,CV,1682286284
178,salalah,17.0151,54.0924,301.2,78,20,2.57,OM,1682286285
179,parainen,60.3067,22.301,283.4,74,100,6.5,FI,1682286285
180,sao joao da barra,-21.6403,-41.0511,295.2,74,15,3.77,BR,1682286245
181,isangel,-19.55,169.2667,300.21,83,20,0.0,VU,1682286286
182,moultrie,31.1799,-83.7891,299.66,21,0,0.0,US,1682286287
183,scarborough,54.2797,-0.4044,281.29,86,88,1.79,GB,1682286287
184,upata,8.0086,-62.3989,298.26,91,100,1.37,VE,1682286288
185,paraiso,9.8383,-83.8656,298.43,57,38,1.34,CR,1682286288
186,jeremie,18.65,-74.1167,299.81,66,7,3.36,HT,1682286289
187,antalaha,-14.9003,50.2788,296.77,93,43,1.82,MG,1682286289
188,isilkul,54.9109,71.2728,281.07,86,99,4.2,RU,1682286290
189,lompoc,34.6391,-120.4579,296.31,79,100,9.83,US,1682286290
190,necochea,-38.5473,-58.7368,286.71,89,0,3.85,AR,1682286291
191,seoul,37.5683,126.9778,285.91,47,0,3.6,KR,1682286013
192,tigil,57.8,158.6667,274.4,88,99,4.15,RU,1682286291
193,port-gentil,-0.7193,8.7815,301.13,83,40,3.6,GA,1682286292
194,half moon bay,37.4636,-122.4286,296.97,79,0,10.8,US,1682286292
195,camacha,33.0833,-16.3333,289.83,77,20,2.57,PT,1682286293
196,castro,-24.7911,-50.0119,286.72,79,0,1.66,BR,1682286267
197,pantai remis,4.4557,100.6288,298.16,89,100,1.32,MY,1682286293
198,rengasdengklok,-6.1592,107.2981,298.49,87,70,2.58,ID,1682286294
199,santa barbara,34.7333,-120.0343,297.23,63,0,7.2,US,1682286232
200,mamallapuram,12.6264,80.1722,302.07,77,100,3.43,IN,1682286295
201,beaverlodge,55.2166,-119.4361,283.79,68,100,5.79,CA,1682286295
202,college,64.8569,-147.8028,264.03,52,100,10.8,US,1682286166
203,airai,-8.9266,125.4092,288.77,95,91,1.52,TL,1682286296
204,surin,14.8818,103.4936,300.32,99,28,0.79,TH,1682286296
205,roebourne,-20.7833,117.1333,299.04,61,79,1.47,AU,1682286297
206,point pleasant,40.0832,-74.0682,292.65,43,100,4.12,US,1682286297
207,havre-saint-pierre,50.2334,-63.5986,278.35,75,100,3.09,CA,1682286297
208,ejido,8.5514,-71.2375,295.59,87,76,2.39,VE,1682286298
209,sao filipe,14.8961,-24.4956,297.16,69,4,6.01,CV,1682286298
210,hangu,39.2489,117.7892,281.17,45,100,2.37,CN,1682286299
211,lanzhou,36.0564,103.7922,278.95,68,98,0.56,CN,1682286299
212,laurel,39.0993,-76.8483,289.83,51,40,5.66,US,1682286299
213,acarau,-2.8856,-40.12,299.05,83,99,5.25,BR,1682286300
214,salinopolis,-0.6136,-47.3561,299.36,86,95,3.26,BR,1682286300
215,mogadishu,2.0371,45.3438,301.44,75,100,3.57,SO,1682286301
216,dikson,73.5069,80.5464,274.08,86,99,8.41,RU,1682286243
217,alyangula,-13.8483,136.4192,300.88,71,91,6.09,AU,1682286302
218,methven,-43.6333,171.65,283.72,42,31,0.89,NZ,1682286303
219,bathsheba,13.2167,-59.5167,298.49,88,75,5.66,BB,1682286256
220,sioux lookout,50.1001,-91.917,275.19,41,75,0.0,CA,1682286073
221,oeiras do para,-2.0031,-49.8544,298.38,90,100,0.67,BR,1682286304
222,williams lake,52.1415,-122.1445,284.91,66,100,7.2,CA,1682286305
223,deputatskiy,69.3,139.9,264.57,93,100,1.54,RU,1682286305
224,towada,40.6127,141.2067,280.49,54,21,6.47,JP,1682286305
225,riyadh,24.6877,46.7219,300.23,31,75,1.94,SA,1682286300
226,caravelas,-17.7125,-39.2481,298.19,73,68,5.11,BR,1682286306
227,khatanga,71.9667,102.5,254.98,99,71,2.29,RU,1682286307
228,avera,33.194,-82.5271,297.8,37,31,3.26,US,1682286307
229,oksfjord,70.2396,22.3479,272.19,87,100,3.28,NO,1682286307
230,ngaglik,-6.84,111.3671,296.55,93,100,1.82,ID,1682286308
231,pringsewu,-5.3582,104.9744,296.22,97,76,0.21,ID,1682286308
232,wyndham,37.6985,-77.6125,294.27,40,20,3.6,US,1682286309
233,nanyamba,-10.6833,39.8333,294.59,99,27,1.59,TZ,1682286309
234,poiana marului,45.6,25.3,278.24,88,13,2.05,RO,1682286309
235,klyuchi,52.2667,79.1667,280.74,54,89,7.56,RU,1682286310
236,saint-georges,12.0564,-61.7485,300.97,78,75,8.75,GD,1682286310
237,rockland,41.1668,-74.0496,291.18,72,67,0.89,US,1682286311
238,tautira,-17.7333,-149.15,300.11,83,100,6.91,PF,1682286311
239,san blas,21.5167,-105.2667,310.09,50,100,3.08,MX,1682286311
240,dingle,10.9995,122.6711,298.6,87,89,2.89,PH,1682286312
241,luanda,-8.8368,13.2343,301.15,78,40,3.6,AO,1682286313
242,kuito,-12.3833,16.9333,288.95,90,71,0.4,AO,1682286313
243,wewak,-3.5534,143.6268,299.51,85,100,2.35,PG,1682286313
244,sitka,57.0531,-135.33,284.09,58,100,4.63,US,1682286314
245,nyurba,63.2842,118.3319,262.36,97,95,1.41,RU,1682286223
246,lindi,-10.0,39.7167,296.26,98,15,1.99,TZ,1682286315
247,kaitangata,-46.2817,169.8464,283.67,63,58,6.61,NZ,1682286232
248,aklavik,68.2191,-135.0107,257.82,81,100,6.7,CA,1682286316
249,teguise,29.0605,-13.564,290.27,68,20,5.14,ES,1682286317
250,ourem,39.6417,-8.5919,288.46,98,41,2.07,PT,1682286317
251,deqing,30.5448,119.9599,287.01,93,100,2.75,CN,1682286318
252,vigia del fuerte,6.5789,-76.8863,299.63,90,93,1.08,CO,1682286318
253,adrar,20.5022,-10.0711,299.71,20,0,4.65,MR,1682286298
